shards,workers_per_shard,clients,total_tasks,type,duration_ms,throughput
1,4,64,10000,mixed,3717.98,16386.1,24693,159278
2,4,64,10000,mixed,4654.19,13332.7,22765,127161
4,4,64,10000,mixed,4847.27,12791.9,21823,124345
8,4,64,10000,mixed,4437.45,14104.7,21213,133397
2,1,64,10000,mixed,3446.42,18057.9,31532,177072
2,2,64,10000,mixed,3993.51,15545.6,24302,149714
2,4,64,10000,mixed,4704.7,13224.4,22661,127222
2,8,64,10000,mixed,6457.46,9509.5,20334,92572
2,4,1,1000,mixed,75.232,13281.4,14615,13304
2,4,4,1000,mixed,314.226,12713.6,13829,12740
2,4,16,1000,mixed,1601.62,9753.77,20020,10005
2,4,64,1000,mixed,4639.78,13259.1,22726,13832
2,4,128,1000,mixed,7815.2,15814.3,24358,16446
2,4,256,1000,mixed,12592.5,19860.6,32373,18104
2,4,64,10000,synthetic,4066.39,15245.2,23803,146232
2,4,64,10000,word,5624.36,10929.7,21169,104687
2,4,64,10000,mixed,4661.37,13303.8,22780,128395
